NAME                                                              CPU(cores)   MEMORY(bytes)   
swisscollections-filter-prod-deployment-6476cb7f65-9nkxf          4m           472Mi           
swisscollections-filter-prod-deployment-6476cb7f65-bjhz9          4m           416Mi           
di-iiif-manifest-indexer-v2-test-7864fdf86f-xmvzs                 4m           203Mi           
swisscollections-solr-indexer-prod-cluster1-deployment-bffm8hpc   4m           275Mi           
di-reports-indexer-prod-deployment-6d44fbd88c-46xnz               4m           633Mi           
api-image-server-stage-6fd9f46786-v6r4t                           2m           437Mi           
api-image-server-test-559696bdc6-rlqxs                            2m           419Mi           
api-image-server-prod-c578f56d9-pwnv4                             2m           1296Mi          
api-image-server-prod-c578f56d9-7nbsk                             2m           1238Mi          
swisscollections-vufind-test-deployment-7c9f457644-rlwh6          1m           94Mi            
swisscollections-vufind-staging-deployment-55dc9ccd46-glrcr       1m           95Mi            
api-media-server-test-59d9878cfb-pkvtm                            1m           3Mi             
cm-acme-http-solver-hdtm7                                         1m           3Mi             
swisscollections-vufind-staging-deployment-55dc9ccd46-hgbng       1m           73Mi            
cm-acme-http-solver-nn5m8                                         1m           3Mi             
kafkamagic-679b6c895f-gh2xg                                       1m           127Mi           
swisscollections-vufind-staging-deployment-55dc9ccd46-vb5k4       1m           93Mi            
swissbib-vufind-dsvforever-deployment-55f496cfb9-mqxgq            1m           97Mi            
api-media-server-prod-d674c648-928bz                              0m           327Mi           
pp-rico2edmtransfromer-7d9649d58d-957wp                           0m           0Mi             
swissbib-switch-off-prod-deployment-5bdbd8d8cd-5lj8l              0m           9Mi             
api-media-server-stage-67d9ffc878-g8gf8                           0m           4Mi             
